StopID;DIVA;StopText;Municipality;MunicipalityID;Longitude;Latitude
2936;60200617;Julius-Ficker-Straße;Wien;49000001;16.4484673;48.2672952
2937;60201858;Aderklaaer Straße U;Wien;49000001;16.4526265;48.2648196
2938;60200506;Herrengasse U;Wien;49000001;16.3656785;48.2105883
2939;60200014;Alaudagasse U;Wien;49000001;16.3820009;48.1527817
2940;60201182;Schottenring U;Wien;49000001;16.3703138;48.2166760
2941;60201129;Rudolfsplatz;Wien;49000001;16.3710774;48.2144733
2942;60200213;Concordiaplatz;Wien;49000001;16.3701342;48.2135634
2943;60204710;Schwechat, BHF S;Schwechat;43007040;16.4826841;48.1425145
2944;60200157;Brandstätte;Wien;49000001;16.3707899;48.2100794
2945;60200457;Habsburgergasse;Wien;49000001;16.3679692;48.2077447
2946;60201747;Joseph-Roth-Gasse;Wien;49000001;16.3940743;48.2218054
2947;60200195;Börse;Wien;49000001;16.3657234;48.2150778
2948;60201747;Joseph-Roth-Gasse;Wien;49000001;16.3939844;48.2218772
2949;60201385;Traisengasse S;Wien;49000001;16.3851720;48.2346237
2950;60200813;Lorenz-Böhler-Unfallkrankenhaus;Wien;49000001;16.3826118;48.2357606
2951;60200500;Dresdner Straße U;Wien;49000001;16.3789377;48.2373940
2952;60200813;Lorenz-Böhler-Unfallkrankenhaus;Wien;49000001;16.3831418;48.2363948
2953;60201037;Possingergasse;Wien;49000001;16.3180498;48.2092533
2954;60200617;Julius-Ficker-Straße;Wien;49000001;16.4481618;48.2672773
2955;60200219;Dammstraße;Wien;49000001;16.3752456;48.2347673
2956;60200813;Lorenz-Böhler-Unfallkrankenhaus;Wien;49000001;16.3830070;48.2363350
2957;60200500;Dresdner Straße U;Wien;49000001;16.3790634;48.2374598
2958;60200219;Dammstraße;Wien;49000001;16.3752636;48.2346058
2959;60201160;Bhf. Meidling <>, Schedifkaplatz;Wien;49000001;16.3319827;48.1726209
2960;60200439;Gunoldstraße;Wien;49000001;16.3612319;48.2447468
2961;60200109;Barawitzkagasse;Wien;49000001;16.3553838;48.2447648
2962;60201138;Saarplatz;Wien;49000001;16.3499041;48.2452792
2963;60201253;Silbergasse;Wien;49000001;16.3488261;48.2431495
2964;60200376;Gatterburggasse;Wien;49000001;16.3493741;48.2388838
2965;60200208;Chimanistraße;Wien;49000001;16.3437866;48.2395659
2966;60200251;Dänenstraße;Wien;49000001;16.3341387;48.2371547
2967;60201397;Türkenschanzplatz;Wien;49000001;16.3281469;48.2347135
2968;60200393;Gersthof S;Wien;49000001;16.3284883;48.2313207
2969;60200217;Czartoryskigasse;Wien;49000001;16.3271498;48.2276884
2970;60201099;Richthausenstraße;Wien;49000001;16.3226582;48.2238882
2971;60201190;Schuhmeierplatz;Wien;49000001;16.3186787;48.2110492
2972;60200262;Albrechtskreithgasse;Wien;49000001;16.3203406;48.2190941
2973;60200508;Hernals, Wattgasse;Wien;49000001;16.3210323;48.2210094
2974;60200639;Kaiserebersdorf, Zinnergasse;Wien;49000001;16.4713384;48.1594875
2975;60201002;Pensionsversicherungsanstalt;Wien;49000001;16.3976136;48.2293280
